,precision,recall,f1-score,support
0,0.0,0.0,0.0,14.0
1,0.94,0.8245614035087719,0.8785046728971962,57.0
2,0.45454545454545453,0.9375,0.6122448979591837,16.0
3,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
4A,0.6666666666666666,0.5,0.5714285714285714,4.0
4B,0.0,0.0,0.0,0.0
4X,1.0,1.0,1.0,3.0
accuracy,0.711340206185567,0.711340206185567,0.711340206185567,0.711340206185567
macro avg,0.48493506493506494,0.5612468671679197,0.5009460838184852,97.0
weighted avg,0.696076226179319,0.711340206185567,0.6854611581601521,97.0
